# machine_name room
lab-01 P113
lab-02 P113
lab-03 P113
lab-04 P113
lab-05 P113
lab-06 P113
lab-07 P113
lab-08 P113
lab-09 P113
lab-10 P113
lab-11 P113
lab-12 P113
lab-13 P113
lab-14 P113
lab-15 P113
lab-16 P113
lab-17 P113
lab-18 P113
lab-19 P113
lab-20 P113
lab-21 P113
lab-22 P113
lab-23 P113
lab-24 P113
lab-25 P114
lab-26 P114
lab-27 P114
lab-28 P114
lab-29 P114
lab-30 P114
lab-31 P114
lab-32 P114
lab-33 P114
lab-34 P114
lab-35 P114
lab-36 P114
lab-37 P114
lab-38 P114
lab-39 P114
lab-40 P114
lab-41 P114
lab-42 P114
lab-43 P114
lab-44 P114
lab-45 P114
lab-46 P114
lab-47 P114
lab-48 P114
